graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,input devices,multimedia,RAM type,CPU clock speed (GHz),CPU model,state,drive memory size (GB),warranty,screen size,buynow_price
integrated graphics,1600 x 900,2,8 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.1,intel pentium dual-core,new,960,producer warranty,"17"" - 17.9""",3269
dedicated graphics,1920 x 1080,4,8 gb,,hdd,,,,,intel core i5,new,1,producer warranty,"17"" - 17.9""",3499
dedicated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",4133
dedicated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,256,seller warranty,"15"" - 15.9""",2649
integrated graphics,1920 x 1080,2,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.4,intel core i3,new,480,producer warranty,"15"" - 15.9""",3189
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.6,intel core i7,new,240,producer warranty,"17"" - 17.9""",3928.99
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1120,producer warranty,"15"" - 15.9""",3499
integrated graphics,1366 x 768,2,2 gb,['windows 10 home'],ssd,['touchpad'],,ddr3l,1.6,intel celeron dual-core,new,32,producer warranty,"11.9"" and less",1699
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,240,producer warranty,"15"" - 15.9""",4209
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,500,producer warranty,"15"" - 15.9""",3418
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,256,producer warranty,"13"" - 13.9""",3399
integrated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",3979
,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,,"['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"14"" - 14.9""",4999
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",6611
integrated graphics,1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr3,2.6,intel core i5,new,960,producer warranty,"15"" - 15.9""",3749
dedicated graphics,1366 x 768,2,4 gb,['no system'],hdd,,"['SD card reader', 'camera']",,,intel core i3,new,1000,producer warranty,,1649
dedicated graphics,1920 x 1080,4,12 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1256,producer warranty,"15"" - 15.9""",6369
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera']",,2,intel core i5,new,1000,producer warranty,"14"" - 14.9""",3449
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,3,,new,480,producer warranty,"15"" - 15.9""",2539
integrated graphics,1366 x 768,2,4 gb,['linux'],,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,1.6,intel core i5,new,500,seller warranty,"15"" - 15.9""",2249
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.6,intel celeron ,new,240,producer warranty,"15"" - 15.9""",1599
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.6,intel core i7,new,256,producer warranty,"14"" - 14.9""",5299
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel pentium dual-core,new,256,seller warranty,"15"" - 15.9""",1779
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,500,producer warranty,"15"" - 15.9""",4499
,1920 x 1080,4,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,amd a12,new,1000,producer warranty,"15"" - 15.9""",2279
,,2,,,,,,,,,new,,producer warranty,,1649
integrated graphics,1920 x 1080,4,2 gb,"['windows 10 home', 'other']",emmc,"['keyboard', 'touchpad']","['camera', 'speakers', 'microphone']",,1.33,other CPU,new,64,producer warranty,"11.9"" and less",649
integrated graphics,1600 x 900,2,8 gb,['other'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,2.6,intel core i7,new,,producer warranty,"14"" - 14.9""",3630
,,2,4 gb,,hdd,,,ddr3,,intel core i5,new,,seller warranty,"17"" - 17.9""",1700
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1250,producer warranty,"15"" - 15.9""",6599
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",4159
dedicated graphics,1600 x 900,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,intel core i7,new,1000,seller warranty,"17"" - 17.9""",2670
integrated graphics,1366 x 768,4,8 gb,"['windows 8.1 home 64-bit', 'other']",hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,amd a8,new,500,producer warranty,"15"" - 15.9""",3000
dedicated graphics,3840 x 2160,4,8 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",7374
dedicated graphics,1920 x 1080,2,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,128,producer warranty,"15"" - 15.9""",2599
,,1,,,,,,,,,new,,producer warranty,,6510
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,,intel pentium 4,new,1000,producer warranty,"15"" - 15.9""",1547
integrated graphics,1920 x 1080,2,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",3576
dedicated graphics,1920 x 1080,4,20 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.6,intel core i5,new,960,producer warranty,"15"" - 15.9""",4849
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",3779
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel pentium dual-core,new,1000,seller warranty,"15"" - 15.9""",1479
dedicated graphics,1920 x 1080,4,,,ssd + hdd,,,,,intel core i5,new,,producer warranty,"17"" - 17.9""",4699
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,960,producer warranty,"15"" - 15.9""",6774
integrated graphics,1366 x 768,2,6 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2,intel core i7,new,256,seller warranty,"15"" - 15.9""",2069
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.7,intel core i7,new,256,producer warranty,"14"" - 14.9""",7599
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",7749
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,2128,producer warranty,"15"" - 15.9""",5699
integrated graphics,,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,,intel core i5,new,256,producer warranty,,3199
dedicated graphics,1366 x 768,2,4 gb,['no system'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr3,2.6,intel core i5,new,240,producer warranty,"15"" - 15.9""",2199
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2699
integrated graphics,1920 x 1080,2,8 gb,"['windows 7 professional 64-bit', 'windows 10 professional']",ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",,,intel core i7,new,960,producer warranty,"14"" - 14.9""",5490
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",1899
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3799
,,2,,,,,,,,,new,,producer warranty,,2039
dedicated graphics,1600 x 900,2,8 gb,"['windows 10 home', 'other']",ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i5,new,128,producer warranty,"17"" - 17.9""",2885
dedicated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,250,producer warranty,"15"" - 15.9""",2949
integrated graphics,1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,240,producer warranty,"15"" - 15.9""",2599
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,['touchpad'],['SD card reader'],ddr4,3.9,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2299
,,2,8 gb,"['windows 7 professional 32-bit', 'other']",ssd,,,,,,new,68,seller warranty,"14"" - 14.9""",2899
integrated graphics,1366 x 768,2,6 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.16,intel celeron dual-core,new,256,seller warranty,"15"" - 15.9""",1509
dedicated graphics,1366 x 768,4,4 gb,['no system'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2,amd a6,new,1000,producer warranty,"15"" - 15.9""",1499
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.16,intel celeron dual-core,new,1000,producer warranty,"15"" - 15.9""",1451.05
dedicated graphics,1920 x 1080,2,6 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,256,seller warranty,"15"" - 15.9""",2709
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],hdd,,"['SD card reader', 'camera', 'speakers']",,2.7,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3499
integrated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,intel core i7,new,512,producer warranty,"14"" - 14.9""",7499
dedicated graphics,1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr3,2.6,intel core i5,new,240,producer warranty,"15"" - 15.9""",3860
,,2,,,,,,,,,new,,producer warranty,,1649
integrated graphics,1920 x 1080,2,12 gb,['no system'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,480,producer warranty,"15"" - 15.9""",3368
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hybrid,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.9,intel core i3,new,500,seller warranty,"12"" - 12.9""",1859.24
